CCT,c_nombre,ASESOR,sostenimiento_c_subcontrol,tiponivelsub_c_servicion3
31EES0001H,ERMILO ABREU GOMEZ,ALICIA,ESTATAL,GENERAL
31EES0006C,VICTOR MANUEL MARTINEZ HERRERA,ALICIA,ESTATAL,GENERAL
31DST0008U,ESCUELA SECUNDARIA TECNICA NUM. 8,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0128T,MARIANO AZUELA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0056Q,LEANDRO VALLE,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0038A,LUIS ROSADO VEGA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0100N,JOAQUIN BARANDA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0012T,JUAN MIGUEL CASTRO,CARLOS,ESTATAL,TELESECUNDARIA
31EES0058I,JOAQUIN CEBALLOS MIMENZA,ALICIA,ESTATAL,GENERAL
31EES0028O,MIGUEL BARRERA PALMERO,ALICIA,ESTATAL,GENERAL
31DST0038O,ESCUELA SECUNDARIA TECNICA NUM. 38,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31DES2009O,MARIA DEL CARMEN FERRAEZ IBARRA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31DST0029G,ESCUELA SECUNDARIA TECNICA NUM. 26,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31EES0067Q,JOAQUIN COELLO COELLO,ALICIA,ESTATAL,GENERAL
31ETV0085L,ENRIQUE BELTRAN,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0116O,CECILIO CHI,CARLOS,ESTATAL,TELESECUNDARIA
31EES0123S,ESCUELA SECUNDARIA ESTATAL NUM. 108,ALICIA,ESTATAL,GENERAL
31ETV0120A,FRANCISCO JAVIER MINA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0182N,DR. VICENTE PENICHE LOPEZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0186J,CARLOS MONSIVAIS ACEVES,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0053T,JOSE GONZALEZ BOCANEGRA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0044L,JUANA DE ASBAJE,CARLOS,ESTATAL,TELESECUNDARIA
31EES0114K,MOISES SAENZ,ALICIA,ESTATAL,GENERAL
31ETV0143L,VICTOR MANUEL CERVERA PACHECO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0169T,JOSE CLEMENTE OROZCO,CARLOS,ESTATAL,TELESECUNDARIA
31DES2022I,SARA MARIA CARRILLO VEGA,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0039Z,SALVADOR NOVO,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0190W,BENITO JUÁREZ GARCÍA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0179Z,PLAN DE DZELKOOP,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0025X,RICARDO FLORES MAGON,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0089H,MANUEL ANTONIO AY,CARLOS,ESTATAL,TELESECUNDARIA
31EES0014L,RAFAEL CHAZARO PEREZ,ALICIA,ESTATAL,GENERAL
31ETV0032G,MARIANO MATAMOROS,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0117N,ELVIA CARRILLO PUERTO,CARLOS,ESTATAL,TELESECUNDARIA
31DST0036Q,ESCUELA SECUNDARIA TECNICA NUM. 36,CARLOS,FEDERAL TRANSFERIDO,TÉCNICA
31ETV0050W,JESUS REYES HEROLES,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0118M,RUFINO CHI CANUL,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0188H,ROSA MARIA RUZ REJON,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0124X,ANTONIO CANTO LOPEZ,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0184L,PANFILO NOVELO MARTIN,CARLOS,ESTATAL,TELESECUNDARIA
31DST2027W,ESCUELA SECUNDARIA TECNICA NUM. 81,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0065S,FELIPE CARRILLO PUERTO,ALICIA,ESTATAL,GENERAL
31ETV0055R,IGNACIO ZARAGOZA,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0064Z,SIMON BOLIVAR,CARLOS,ESTATAL,TELESECUNDARIA
31ETV0002M,FELIPE CARRILLO PUERTO,CARLOS,ESTATAL,TELESECUNDARIA
31DST2018O,ESCUELA SECUNDARIA TECNICA NUM. 73,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31DST2007I,ESCUELA SECUNDARIA TECNICA NUM. 62,ANGEL,FEDERAL TRANSFERIDO,TÉCNICA
31EES0066R,VENUSTIANO CARRANZA,ALICIA,ESTATAL,GENERAL
31DES2020K,PASTOR GASPAR CASTRO SOBERANIS,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0120V,MERCEDES PENICHE LOPEZ,ALICIA,ESTATAL,GENERAL
31DES2029B,SARA MOLINA FONT,SANDY,FEDERAL TRANSFERIDO,GENERAL
31ETV0151U,ESCUELA TELESECUNDARIA 20 DE NOVIEMBRE,CARLOS,ESTATAL,TELESECUNDARIA
31DES0022V,RAMON OSORIO OSORIO,SANDY,FEDERAL TRANSFERIDO,GENERAL
31EES0121U,CENTRO DE FORMACION BASICA Y SENSIBILIZACION ARTISTICA,ALICIA,ESTATAL,GENERAL
